Size: 256
Style: stroke-linecap="round" stroke-width="1.6" stroke="#ffffff"
Path: m-.05,-.05 h0
109.85,11.12
112.08,14.74
118.26,12.1
122.09,12.26
127.83,14.5
131.99,11.34
138.92,11.99
143.4,14.14
149.59,12.7
152.71,13.77
158.13,12.55
162.1,14.51
167.12,11.92
172.07,12.44
175.95,12.3
182.1,14.4
187.68,11.25
191.99,14.25
199.06,11.79
204.3,14.47
207.31,12.02
212.97,12.39
217.68,13.42
224.37,11.53
228.2,12.2
234.57,12.76
239.74,11.67
242.97,13
249.81,10.56
252.88,11.68
1.53,17.43
7.67,17.92
10.38,19.58
16.33,18.12
22.66,17.53
26.55,15.79
31.98,16.48
36.94,18.5
41.52,18.72
46.36,16.58
50.95,19.1
58.48,16.22
62.78,18.72
67.77,18.3
72.25,17.98
76.79,18.48
81.07,16.31
87.35,18.98
92.68,16.27
96.48,17.49
101.63,18.35
106.53,16.1
112.92,18.88
119.54,17.34
121.74,19.59
129.02,19.09
134.35,18.45
138.27,17.24
142.44,17.93
149.58,16.33
151.79,19.53
157.57,17.83
162.79,18.2
169.16,17.61
174.14,18.55
178.54,16.1
183.85,19.15
187.96,15.46
193.82,18.81
197.81,16.48
201.91,18.54
209.39,19.34
211.15,16.81
216.64,18.01
224.37,15.78
229.67,17.7
232.2,18.53
236.86,19.42
241.48,17.22
249.27,16.34
253.65,19.02
3.33,22.46
7.61,24.25
13.39,20.87
16.18,23.09
21.51,22.93
26.67,22.6
34.02,20.79
36.6,24.53
43.41,21.82
48.17,24.38
54.33,20.73
56.95,21.16
63.59,22.67
66.91,21.83
72.7,21.78
78.67,21.92
83.34,23.02
88.42,22.7
94.61,23.42
98.06,20.82
102.56,21.92
109.12,24.28
112.17,21.95
117.67,22.32
124.39,21.61
126.69,20.66
134.38,22.11
137.74,24.03
142.37,21.24
147.5,21.96
154.86,24.39
159.86,22.92
162.92,22.14
169.02,23.55
174.1,22.36
179.49,23.91
183.56,22.8
189.1,21.16
191.7,24.11
200.14,23.47
204.15,23.57
209.09,23.72
214.73,23.83
219.69,21.21
223.79,20.69
227.75,21.51
232.48,24.14
237.31,24.07
242.06,20.61
248.43,22.29
253.31,22.03
2.88,27.47
6.67,28.42
13.08,27.45
18.48,27.81
23.69,28.89
28.36,27.28
32.2,27.59
36.07,28.83
41.74,27.55
48.96,27.58
53.06,27.74
56.45,29.83
60.52,27.48
65.99,26.24
71.79,27.65
78.9,27.99
82.15,26.58
86.59,28.34
91.02,27.59
95.78,29.12
101.08,25.89
107.56,27.14
111.6,29.56
118.93,27.09
122.29,28.51
126.47,28.16
131.85,28.78
138.64,28.63
143.36,26.68
148.7,26.03
151.6,28.18
157.93,27.41
164.33,28.83
168.28,26.37
173.37,27.24
178,27.34
184.41,27.32
188.87,28.4
192.03,27.8
196.46,26.15
204.31,28.98
207.16,28.42
214.39,26.53
218.62,27.09
223.14,26.16
228.23,29.17
231.83,27.98
238.9,28.68
244.37,25.14
247.13,29.37
251.81,27.85
4.27,33.52
7.58,32.03
11.31,33.55
15.57,32.97
24.11,33.41
26.62,32.52
31.83,32.87
39.23,31.4
43.3,31.39
46.24,34.88
52.64,32.08
58.97,33.53
63.12,30.76
68.55,32.77
74.28,33.08
77.56,31.82
83.29,31.54
87.32,31.62
92.96,33.36
98.27,33.82
101.94,30.63
107.75,31.5
113.87,33.2
117.08,33.28
122.75,33.95
127.72,31.95
132.07,33.17
138.19,32.07
142.2,32.79
148.83,32.56
153.09,34.14
159.2,32.97
162.37,34.43
168.61,33.44
172.2,32.83
177.3,33.6
181.23,31.59
188.16,33.07
193.96,32.91
198.68,32.68
201.81,31.06
208.13,33.66
211.47,32.16
216.53,31.81
222.49,32.67
229.12,32.21
233.19,31.92
238.98,32.02
243.17,30.62
248.06,34.39
253.02,31.73
1.46,36.34
6.14,39.11
12.97,36.8
17.98,36.12
21.72,37.08
27.49,37.45
34.36,37.16
37.94,38.71
40.94,35.74
47.4,38.96
51.65,38.9
59.27,36.5
62.91,37.62
67.91,36.74
71.66,37.98
76.28,38.54
84.13,38.99
86.91,37.14
92.85,38.32
97.32,37.87
101.76,36.54
106.43,37.94
111.04,36.3
116.52,39.38
124.19,36.7
129.89,36.28
133.12,38.84
137.51,39.33
143.84,35.74
147.66,38.66
151.25,38.67
158.18,37.74
164.53,37.97
167.8,38.45
173.42,39.54
179.6,36.99
184.61,37.66
189.82,36.57
193.62,37.43
199.07,37.12
203.55,37.93
209.07,39.08
215.16,37.04
220.03,36.22
225.31,36.76
230.31,37.6
235.2,37.67
240.32,36.51
243.34,38.68
248.66,39.39
254.24,37.91
2.46,42.83
7.82,42.24
13.14,42.09
17.07,44.6
22.55,41.67
26.18,42.6
31.4,42.37
39.44,43.59
42.74,40.81
47.88,44.38
54.65,44.21
59.33,41.47
61.16,44.12
68.72,42.21
74.14,41.45
78.87,42.3
83.36,42.24
89.62,41.39
94.62,42.91
100.05,43.64
104.2,41.63
109.36,41.01
112.68,43.62
118.11,42.23
121.52,41.64
127.29,42.6
134.82,42.19
139.07,44.41
143.42,43.33
148.38,42.37
154.93,40.61
158.46,43.51
163.22,44.12
168.57,42.52
174.47,44.3
178.08,43.09
183.19,42.21
189.99,41.18
193.04,44.33
198.69,42.84
203.36,43.94
208.76,42.65
215.2,42.67
219.42,41.18
223.61,42.91
227.34,42.17
234.26,43.76
238.31,41.38
241.66,42.73
248.42,43.83
253.32,44
1.16,47.63
5.55,49.01
11.14,46.81
19.33,48.14
23.65,48.12
29.17,47.04
34.25,49.32
36.07,46.61
43.36,45.79
46.6,48.83
51.21,48.73
57.44,48.93
63.34,48.61
67.08,45.93
71.52,49.72
75.82,46.71
84.17,48
88.6,48.18
92.23,48.15
97.06,46.53
103.08,46.06
108.32,48.44
113.57,49.1
118.35,48.75
123.61,45.87
129.18,48.2
132.32,47.83
136.84,49.18
143.41,48.81
148.56,47.08
153.32,46.02
157.22,48.08
164.41,49.99
166.44,47.11
171.43,46.69
179.6,48.69
182.76,46.81
187.44,47.07
192.05,46.95
198.65,46.95
203.43,48.51
208.71,47.85
212.26,45.8
218.09,48.82
223.1,48.15
228.9,49.47
233.2,48.62
238.82,46.18
242.69,47.56
248.67,49.36
252.99,49.1
4,52.7
8.66,51.67
13.14,51.73
16.3,52.88
21.52,53.43
28.67,51.95
32.93,52.75
36.65,52.79
41.79,51.73
47.5,54.29
53.3,53.01
57.29,53.61
61.83,53.67
67.56,54.07
73.29,53.27
78.12,53.22
80.72,50.29
86.55,52.81
93.1,52.72
99.2,50.75
101.1,53.21
107.87,53.34
111.37,52.69
118.6,51.98
122.43,52.28
126.56,51.6
131.99,51.48
139.75,52.99
143.39,52.67
147.18,53.56
152.44,53.92
157.27,52.52
161.19,53.39
168.3,53.75
171.78,51.55
177.39,52.78
182.52,52.72
188.72,51.51
194.52,52.19
197.15,54.59
204.29,54.54
209.24,53.05
214.07,51.14
218.55,53.42
223.28,51.64
229.18,54.5
233.41,52.9
237.19,52
244.01,51.51
248.7,53.21
255.41,53.26
2.09,58.33
8.63,56.17
13.78,56.77
18.15,58.13
22.38,57.76
25.91,59.64
31.22,56.64
35.87,57.53
40.98,58.86
46.49,57.89
52.84,56.6
58.47,59.12
61.09,57.11
67.56,58.83
74.2,56.88
79.03,58.43
82.42,55.98
87.48,59.34
92.32,57.37
96.44,57.65
103.32,58.01
109.7,59.27
113.39,58.91
119.59,57.39
121.66,59.81
127.3,58.49
132.24,56.67
136.43,56.41
141.76,56.98
146.22,59.71
153.03,58.72
158.96,57.32
163.77,58.86
168.99,56.59
173.28,59.12
176.62,56.38
181.58,58.82
188.73,56.29
192.69,56.64
196.1,59.44
202.9,58.53
209.99,58.38
211.81,55.87
217.33,56.79
222.82,58.46
227.69,58.54
233.34,56.8
238.96,59.54
243.19,57.06
248.96,57.29
253.71,56.78
4.54,62.78
8.32,61.07
13.88,62.07
18.64,61.92
22.14,63.51
28.74,62.07
34.03,64.63
37.4,61.31
41.17,62.45
47.6,61.64
51.55,64.15
58.55,63.36
62.7,62.34
67.43,63.41
73.14,63.94
79.35,61.37
83.68,63.1
87.01,64.54
93.77,61.43
98.13,63.42
102.76,62.43
107.06,61.86
114.01,63.4
119.51,63.03
124.53,64.27
129.58,61.69
132.92,62.72
137.56,62.61
141.6,62.95
148.75,61.66
151.48,64.29
157.27,60.93
164.52,62.84
167.4,64.45
171.82,63.46
178.38,61.41
183.2,61.63
188.84,63.4
192.28,64.56
198.21,61.81
204.43,63.7
208.11,61.87
213.43,60.95
217,63.86
221.94,62.4
230.11,61.36
234.58,62.82
236.62,65.2
243.04,61.23
246.85,62.57
254.57,61.91
3.46,67.34
6.64,66.17
13.36,69.71
16.53,67.41
21.21,68.47
28.89,68.39
33.61,68.71
39.19,67.25
41.7,66.56
47.58,65.98
54.02,68.26
57.55,69.14
61.34,67.25
67.9,66.47
73.88,67.99
77.76,68.42
82.22,67.04
88.8,69.09
93.58,66.43
98.18,67.55
102.36,66.84
107.29,67.8
111.75,68.99
118.47,68.25
124.96,68.47
127.87,69.91
131.99,68.52
139.11,68.27
143.19,68.96
148.2,68.86
154.3,68.24
157.89,69.19
161.12,66.03
167.9,68.3
173.81,66.45
179.58,67.83
183.96,66.23
187.87,67.89
192.14,69.69
196.77,67.34
202.08,68
207.24,66.23
213.59,68.3
219.91,68.18
223.88,67.59
227.41,66.69
233.34,68.99
240.17,66.39
244.49,68.91
248.48,66.54
253.42,67
0.97,74.3
6.06,73.3
11.44,74.01
16.73,71.75
24.28,70.79
26.84,74.1
34.72,74.46
37.84,71.58
44.73,71.37
48.03,74.28
53.05,74.02
58.51,73.59
63.93,73.29
67.63,73.94
70.81,71.61
76.23,72.33
83.68,71.51
87.34,72.91
92.29,73.58
98.68,72.83
104.22,71.75
108.95,73.91
114.31,72.19
117.28,74.07
122.08,71.14
126.46,74.11
133.69,71.27
137,73.16
141.66,74.26
148.93,74.06
151.94,74.51
156.82,71.82
164.38,73.86
167.28,73.61
173.41,73.74
177.28,71.16
183.87,74.37
186.33,71.97
193.6,72.84
198.06,74.84
205.12,71.92
209.4,72.83
212.07,72.19
217.13,71.41
222.97,73.08
229.02,72.55
233.18,72.25
238.13,73.88
242.55,73.37
247.23,74.15
252.56,73.17
3.16,77.14
6.37,76.42
10.84,78.98
18.33,78.45
22.77,76.36
27.41,79.33
32.62,76.59
38.34,75.98
42.44,77.8
45.57,79.53
53.84,78.89
58.21,78.45
62.38,76.69
66.76,79.43
72.76,77.62
78.29,78.24
82.59,76.34
88.12,78.77
94.03,76.65
98.81,77.13
103.06,75.82
106.37,76.39
114.26,79.78
116.52,77.17
122.25,78.76
126.66,78.23
133.93,79.21
139.1,77.8
144.97,76.63
148.77,78.89
154.67,76.14
157.33,79.42
163.84,77.1
167.09,79.2
175.44,76.35
179.41,76.71
182.79,79.83
189.97,78.05
192.18,76.16
198.74,79.23
202.13,75.9
207.99,78.4
211.79,77.19
217.37,76.3
223.04,77.03
228,79.37
232.97,76.43
236.73,78.86
241.77,76.09
249.87,79.04
254.05,79.45
3.64,83.28
7.09,81.46
14.26,80.55
16.47,84.7
20.85,82.43
25.58,82.52
34.03,82.19
38.31,83.85
43.48,84.32
47.99,81.21
51.53,83.42
57.91,82.1
61.7,84.77
68.24,84.15
74.23,82.73
78.11,82.18
83.25,81.22
87.06,82.97
92.8,81.55
98.32,81.4
103.78,83.02
107.12,82.54
113.32,83.85
118.42,83.44
123.05,84.25
128.43,82.11
133.19,82.62
139.52,83.74
144.55,83.14
145.95,81.11
151.83,81.94
158.79,81.57
162.43,83.36
167.79,83.38
172.71,81.27
176.74,83.04
182.08,83.59
187.2,81.05
194.17,83.01
199.2,84.02
202.96,83.53
209.02,83.82
213.74,83.17
218.42,82.51
223.62,80.98
227.71,84.1
231.62,84.48
239.21,81.18
242.44,81.12
247.96,82.29
252.58,82.77
3.58,87.38
6.71,88.85
12.33,87.06
18.23,88.56
23.18,89.54
27.77,87.48
31.52,87.4
36.72,86.36
41.76,88.04
48.1,87.39
53.44,86.96
57.97,89.49
64.51,87.44
67.79,86.6
74.45,86.29
78.77,88.55
84.27,86.39
88.92,89.27
91.91,86.54
96.9,86.7
100.96,86.41
107.31,88.07
113.68,89.52
117.42,87.48
121.64,88.89
128.58,87.84
131.65,88.79
139.5,88.19
144.94,87.72
149.13,88.51
152.8,86.61
158.36,87.75
162.53,87.01
168.73,88.29
173.2,89.16
178.54,88.56
184.77,87.11
189.27,88.27
193.32,86.41
199.25,88.07
203.74,88.81
206.66,86.64
215.07,86.62
216.48,89.16
223.37,86.53
229.09,88.76
235.35,88.22
238.33,88.46
242.7,86.8
247.18,87.74
252.42,86.51
3.74,92.11
9.1,93.6
14.02,91.82
18.99,92.52
24.56,93.91
28.94,91.49
33.99,91.53
37.71,92.42
44.21,93.87
48.48,93.8
52.03,91.29
58.24,93.71
62.41,93.69
68.05,91.87
73.32,93.35
79.07,93.04
82.13,93.39
87.7,92.91
92.55,93.27
98.64,93.68
101.43,92.68
109.05,93.16
113.24,92.29
119.68,91.78
122.47,93.4
128.04,93.83
133.51,93.07
136.72,92.83
141.6,94.02
147.87,93.29
153.62,92.66
157.71,92.92
164.22,91.47
168.79,93.93
172.22,94.45
177.7,93.04
182.29,93.56
186.35,92.16
192.72,92.22
196.98,92.3
204.35,91.75
207.71,94.55
211.53,91.68
217.45,92.24
221.87,91.93
229.52,92.4
233.64,93.49
239.91,93.9
245.29,91.71
250.36,92.14
253.86,92.62
1.91,96.76
5.85,98.45
14.15,98.55
17.96,99.24
22.06,98.67
26.34,98.22
32.58,96.15
37.71,98.02
41.26,97.21
45.9,99
51.26,96.94
56.23,98.54
62.53,98.54
66.87,96.25
72.73,96.58
75.91,99.46
80.86,99.1
89.75,99.51
91.82,96.46
97.09,97.69
103.87,96.76
108.35,99.82
110.97,96.88
117.49,96.91
123.09,96.67
129.1,97.34
133.26,97.13
137.67,98.71
143.54,97.58
146.97,96.57
154.57,98.45
156.71,100.19
163.22,96.74
169.43,99.56
174.01,98.15
178.76,97.83
183.23,99.6
188.97,97.01
194.42,98.12
198.1,96.92
201.71,99.48
208.44,97.23
212.15,99.22
217.19,96.45
224.51,98.56
229.11,96.32
231.74,97.85
236.86,97.22
241.81,97.78
247.55,98.24
254.29,97.59
3.57,101.84
7.62,104.5
12.78,102.19
16.59,104.23
24,103.74
28.44,101.81
33.1,102.31
37.43,102.69
43.28,102.64
46.64,103.07
52.17,101.64
59.02,103.18
61.64,102.4
68.6,101.82
74.04,101.84
78.48,103.86
83.82,101.2
87.16,102.71
92.88,104.24
97.1,102.72
101.16,101.06
105.87,103.34
111.7,101.86
117.78,101.77
121.88,101.56
127.26,101.89
132.95,101.98
136.73,103.15
144.74,102.33
148.85,104.51
152.56,104.11
159.07,103.26
163.56,104.53
166.59,101.26
173.67,102.95
177.52,103.51
183.21,104.17
187.52,102.5
192.68,103.35
197.52,104
203.14,103.18
208.71,104.43
212.07,104.11
219.36,101.23
222.12,101.87
229.59,104.21
234.04,104.1
237.59,102.84
243.69,101.56
248.1,102.01
253.35,104.44
3.2,109.55
5.63,107.28
11.97,106.61
18.87,107.49
21.99,109.79
25.92,108
30.79,109.52
35.65,106.53
43.19,109.79
46.95,106.52
53.07,107.16
58.84,109.01
63.26,106.97
67.73,108.43
73.99,109.59
77.99,107.82
81.97,107.21
87.09,107.99
93.25,108.83
98.02,107.3
102.48,107.98
109.25,106.77
113.19,108.07
117.95,106.1
124.75,109.28
127.76,107.54
132.42,107.81
137.2,109.6
142.81,106.43
148.86,108.66
153.09,108.16
156.46,109.52
161.5,107.24
167.19,106.82
171.5,107.7
176.88,107.8
182.66,109.48
187.78,107.69
191.67,106.43
197.78,108.56
203.04,106.81
207.33,108.12
214.76,107.11
218.01,108.73
224.93,106.31
229.63,108.39
232.66,108.36
239.77,106.14
243.59,108.41
249.61,105.92
252.14,109.11
1.27,112.7
8.54,111.85
13.73,111.99
16.72,112.64
22.75,113.62
27.06,112.98
35.07,111.11
36.59,113.86
43.47,113.13
47.51,111.9
52.88,112.22
57.19,113.9
61.68,111.88
67.22,113.05
71.25,111.29
77.62,113.59
81.04,114.25
88.47,114.07
93.14,113.61
98.07,114.88
104.3,110.6
106.35,112.39
114.31,111.77
117.31,111.34
121.24,111.13
126.2,114.03
133.16,114.51
139.43,113.69
143.46,112.57
146.76,114.2
151.73,114.2
159.73,114.03
162.33,111.32
168.63,111.77
173.38,112.15
178.56,114.66
183.95,113.18
187.43,111.93
192.49,113.82
198.66,114.2
202.92,111.22
208.12,113.95
214.93,111.62
220.24,112.87
223.2,110.41
226.93,112.54
233.44,113.06
238.72,111.91
244.25,113.21
248.51,113.25
251.98,112.62
3.65,117.04
8.92,116.31
12.19,118.35
16.95,117.06
22.79,119.19
26.77,117.62
32.28,116.47
38.2,118.7
41.37,119.38
47.77,116.69
51.44,117.19
58.9,116.71
64.11,116.53
69.55,119.56
73.72,117.96
76.91,118.52
83.73,115.7
86.39,116.41
91.01,118.48
96.34,119.88
103.28,116.23
106.6,117.2
112.36,118.88
116.7,117.67
121.49,117.06
129.35,117.14
131.33,119.24
136.73,117.11
141.97,116.49
146.66,118.25
151.64,117.22
158.24,117.59
162.55,119.68
168.39,116.22
171.92,119.01
178.57,118.49
183.2,116.77
187.92,116.89
194.11,117.63
199.47,117.8
202,119.59
209.32,117.23
212.56,117.41
218.5,116.38
223.29,117.49
228.51,118.13
233.98,117.84
238.98,117.73
242.63,119.57
250.04,116.81
251.82,119.49
3.12,121.38
7.48,123.14
12,122.36
16.46,123.07
24.25,122.16
28.37,124.59
31.18,121.99
36.17,124.07
42.71,123.65
48.73,121.56
51.8,124.42
56.04,122.52
61.88,123.11
67.69,123.84
72.77,123.99
76.68,124.38
84,122.01
88.75,123.63
91.6,121.97
99.61,123.58
102.91,120.92
107.68,121.44
111.74,124.09
119.17,124.7
121.87,122.56
126.64,122.14
131.83,124.34
139.43,124.74
142.72,122.29
148.17,123.46
153,123.93
156.42,122.59
160.67,124.88
168.23,122.68
173.48,122.16
177.88,124.19
183.83,123.64
189.18,124.59
193.46,123.2
198.77,123.44
203.13,122.39
208.76,123.82
211.86,121.23
218.96,123.41
223.18,122.82
228.39,124.54
232.93,122.19
237.14,122.46
241.68,123.65
246.8,122.28
252.36,123.13
1.71,128.08
7.7,128.39
11.49,127.71
16.86,128.78
21.02,126.34
25.33,129.41
31.52,129.59
39.14,128.17
43.97,126.8
49.16,127.36
54.5,129.69
58.05,126.81
62.36,128.29
66.76,128.44
73.46,129.25
76.47,129.05
82.77,126.83
87.63,128.28
92.17,126.71
98.49,128.57
103.99,128.58
107.05,126.52
114.02,127.4
117.64,129.69
122.76,127.8
128.51,127.83
131.95,127.93
136.89,128.65
144.59,127.14
146.52,129.48
152.81,129.85
159.39,129.56
164.04,125.94
166.68,126.93
172.78,126.84
176.3,126.46
183.09,128.49
189.38,129.59
192.56,127.55
199.58,128.2
204.76,128.85
208.69,128.37
212.47,127.82
218.57,128.04
223.6,127.79
230.7,125.96
231.16,129.56
236.75,127.03
242.88,129.67
248.75,127.63
254.97,126.3
1.09,131.11
7.21,134.31
11.82,132.01
16.3,134
22.59,134.57
26.81,133.29
33.8,131
36.59,132.25
41.34,134.28
46.95,134.42
50.76,132.28
59.17,132.12
64.11,132.53
69.03,133.54
73.39,132.81
78.44,132.84
84.18,132
89.38,134.12
93.54,131.28
98.78,134.14
101.17,132.09
107.81,132.38
111.72,131.68
119.31,134.3
124.6,131.71
127.91,133.5
131.79,132.95
139.03,132.31
142.22,134.24
147.54,134.43
153.96,134.09
159.66,135.02
162.82,133.86
168.43,133.62
172,132.08
178.84,132.52
181.8,131.73
186.2,134.72
193.94,133.83
198.61,133.23
202.99,133.53
208.34,131.63
212.09,133.92
217.19,131.81
223.4,133.08
229.33,133.47
232.48,132.34
238.73,133.16
242.12,134.75
247.6,133.22
254.68,132.54
1.19,136.35
8,138.1
12.49,139.35
16.28,137.37
24.06,137.69
28.06,139.13
33.28,139.14
37.57,136.24
43.62,136.39
49.26,136.34
53.73,138.27
59.11,136.24
62.55,138.73
66.45,138.78
73.13,139.07
76.29,137.25
84.2,140.38
85.65,137.26
92.79,138.1
99.1,137.65
104.6,138.85
108.97,138.9
113.59,136.91
116.7,139.04
122.6,138.74
126.96,138.46
131.16,139.53
139.39,139.05
141.81,137.63
149.21,140.04
151.38,136.75
156.35,137.44
164,138.51
170.09,139.36
173.78,136.38
179.41,135.97
181.84,137.95
189.12,137.73
192.28,140
198.36,137.55
204.78,136.85
209.12,138.24
214.81,136.88
220.1,136.14
222.79,137.78
229,139.93
235.09,136.22
237.35,138.51
243.95,138.83
249.72,138.55
254.24,136.72
2.34,141.92
8.77,144.43
14.38,142.33
18.51,141.69
23.87,143.8
28.98,144.61
33.37,142.92
37.1,144.35
42.21,141.74
47.85,143.55
51.34,144.2
56.2,144.86
62.84,141.59
66.61,142.45
73.98,142.74
77.65,141.75
82.61,144.27
87.75,141.14
91.2,142.38
96.32,142.34
101.53,141.51
106.75,142.16
113.16,144.36
119.06,141.09
120.57,144.71
128.98,141.52
133.24,141.28
139.19,142.78
143.59,143.52
147.87,144.61
152.89,144.31
159.52,144.18
163.26,141.68
168.86,143.65
174.76,143.14
178.26,142
183.41,142.22
188.86,142.01
194.81,142.46
197.99,142.68
201.83,143.41
208.56,143.58
213.9,141.16
218.17,143.84
221.62,144.34
227.84,143.59
233.23,141.85
238.85,143.2
245.14,143.9
248.37,142.14
252.4,142.07
1.07,148.13
5.44,146.37
14.24,147.64
16.44,149.78
21.11,148.08
27.01,149.82
33.82,146.48
39.56,146.18
41.76,150.07
47.54,148.69
51.11,147.67
59.79,149.89
61.19,147.47
67.08,146.73
71.13,146.22
76.62,147.08
84.3,148.61
88.52,149.24
91.9,147.16
98.26,147.1
101.96,146.82
109.12,149.02
113.84,148.1
119.34,149.6
123.7,148.82
127.33,147.37
134.27,148.36
137.3,148.17
141.95,148.04
147.65,148.37
152.4,149.18
159.08,147.2
164.68,150.52
165.72,146.75
173,146.46
179.84,147.44
184.24,148.27
189.25,147.2
194.57,147.25
199.91,147.62
204.85,146.19
209.61,149.4
213.64,145.95
216.97,148.65
223.71,148.76
226.64,146.27
232.88,146.81
240,147.51
245.05,149.54
247.35,147.35
252.09,147.09
2.93,152.42
8.89,151.87
13.35,152.6
17.28,153.34
22.7,151.46
27.64,154.92
32.54,152.43
36.34,153.83
44.17,154.37
47.78,152.03
52.44,151.97
57.46,152.08
64.37,151.72
68.04,154.97
72.76,151.93
77.91,153.49
82.35,154.36
87.72,153.8
93.22,153.09
98.33,151.29
102.65,151.8
109.86,152.77
113.73,153.77
117.14,154.57
124.28,153.47
129.78,153.19
132.94,151.97
139.63,154.86
143.28,154.2
146.68,152.8
153.56,152.79
158.31,154.45
164.93,154.5
169.97,151.01
173.44,153.71
177.27,153.9
181.69,154.73
187.95,152.71
193.26,151.55
196.07,154.97
203.96,152.37
207.83,152.41
213.8,151.46
216.64,154.83
222.18,153.51
227.52,151.9
232.11,153.75
238.76,153.32
241.96,153.49
247.16,153.3
254.92,154.45
4.24,158.76
7.5,156.55
11.8,158.23
15.97,159.85
20.55,157.85
26.14,158.89
31.25,156.26
37.55,159.06
41.06,157.35
46.2,157.02
53.82,156.75
56.79,157.39
63.28,158.51
68.52,159.25
71.78,157.48
78.45,157.1
81.91,159.2
88.93,157.75
94.8,157.54
98.86,157.32
103.28,156.35
106.75,157.72
112.05,159.38
119.51,159.56
123.93,157.63
128.71,157.82
132,157.92
137.77,158.66
143.57,159.42
149.56,158.84
154.03,158.62
158.04,159.29
164.87,159.56
169.82,158.6
172.99,157.05
178.44,158.75
184.29,158.7
188.91,156.7
191.38,159.51
198.03,158.73
201.29,159.41
207.03,157.39
212.94,157.83
219.21,158.53
224.7,158.52
230.13,159.02
231.88,156.44
239.86,160.05
242.23,158
248.3,156.69
255.03,158.55
2.52,163.09
7.63,163.29
11.63,163.21
16.5,164.27
23.77,164.74
27.4,163.15
33.07,162.24
37.42,163.27
42.83,164.08
47.04,161.72
51.59,162.46
57.34,162.36
62.18,162.67
68.99,162.76
74.36,162.11
78.17,163.51
83.5,164.17
89.54,164.1
91.57,161.84
98.08,162.64
102.41,161.83
107.48,161.92
112.7,164.46
119.17,164.03
123.57,165.01
127.15,161.55
133.08,164.11
139.43,162.32
145.26,161.73
146.54,164.41
153.9,163.37
160.15,164.49
162.08,161.43
169.74,162.63
174.84,164.44
177.02,161.74
184.85,164.76
188.14,163.84
194.15,163.35
199.76,163.17
203.45,162.7
210.05,161.32
213.43,163.77
216.94,162.91
222.67,162.62
228.35,161.75
232.31,165.16
237.87,162.26
244.93,163.41
249.98,164.55
252.89,164.12
2.2,167.96
5.92,168.66
12.3,167.02
18.14,169.75
20.71,166.59
27.06,167.65
32.39,168.39
36.14,166.81
43.49,169.41
47.59,166.99
52.71,166.65
58.99,167.98
62.49,168.74
68.37,167.83
73.61,167.23
78.44,169.1
83.03,168.87
87.55,167.94
91.24,169.21
99.21,169.53
102.91,168.1
107.7,166.49
112.96,168.81
118.52,168.27
122.93,169.7
127.41,166.59
134.07,169.51
137.16,166.32
142.9,166.95
146.96,168.12
152.85,166.97
158.65,167.59
162.94,167.92
166.97,168.44
171.78,168.41
177.98,166.64
182.47,166.8
187.1,169.81
193.97,169.19
199.79,167.55
204.59,169.21
208.43,166.05
212.24,168.28
219.45,167.87
221.94,166.03
227.49,167.25
234.79,169.52
239.47,168.89
242.05,166.96
247.28,166.98
255.35,166.1
0.46,172.22
9.09,174.39
13.64,172.46
16.41,174.04
23.67,174.7
27.58,173.64
32.96,172.83
36.51,171.46
40.98,173.54
47.65,173.21
51.31,172.91
